vendorCode,title,description,sellingPrice,onHand,productLine,imageUrl,brand,category,subcategory
P45G - TOUCH PAD,''BOARD TOUCH PAD Q35 CLV 6-49-W65D3-010'',''BOARD TOUCH PAD Q35 CLV 6-49-W65D3-010'',765,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
P47 - GPU THERMAL MODULE,''GPU THERMAL MODULE W/FAN P47W 6-31-N87PN-201'',''GPU THERMAL MODULE W/FAN P47W 6-31-N87PN-201'',917,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
P45 - Bottom Cover,''BOTTOM CASE P45K CLV6-39-N85H3-013'',''BOTTOM CASE P45K CLV6-39-N85H3-013'',776,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
Aero 15X9 Ac Adapter,ADAPTER 230W A17-230P1A CCYP OUTPUT(19.5V/11.8A),ADAPTER 230W A17-230P1A CCYP OUTPUT(19.5V/11.8A),1400,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
X5  - PALMREST,C Cover TOP COVER KIT RX5K4 (No Touch Pad),C Cover TOP COVER KIT RX5K4 (No Touch Pad),864,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
AERO 15 OLED YC-9MY5760GH,AERO 15 OLED YC|15.6'' 4K 60Hz OLED|Intel Core i9-10980HK|RTX 3080Q GDDR6 8GB|32GB x 2 (64GB)|Gen3 1TB x 2 (2TB) NVMe SSD|WIN10H,AERO 15 OLED YC|15.6'' 4K 60Hz OLED|Intel Core i9-10980HK|RTX 3080Q GDDR6 8GB|32GB x 2 (64GB)|Gen3 1TB x 2 (2TB) NVMe SSD|WIN10H,49999,5,Gigabyte Notebook,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-15-oled-yc-9my5760gh/pictures/aero-15-oled-yc-9my5760gh.png,Gigabyte,Systems,Notebooks
GIGABYTE 9JRADA-230CSAP-ZA00,GIGABYTE AC Adapter Input(AC): 100~240V~3.5A 50/60Hz| 230W Power adapter (AERO|AURUS|GB models),GIGABYTE AC Adapter Input(AC): 100~240V~3.5A 50/60Hz| 230W Power adapter (AERO|AURUS|GB models),999,27,Gigabyte Notebook,,#N/A,#N/A,#N/A
P17V5 - FAN,''FAN+CON 79*15MM 5V 0.4A 3500RPM 6-23-AW15E-011'',''FAN+CON 79*15MM 5V 0.4A 3500RPM 6-23-AW15E-011'',691,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
P15FR7 - KB,KB P15FV3 98K UI CLV,KB P15FV3 98K UI CLV,753,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
BAT-1580/85,MECER EAA89 (6-CELL) SQU-805/804/807,MECER EAA89 (6-CELL) SQU-805/804/807,695,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
AORUS 7 WA/SA - AC ADAPTER,ADAPTER 180W A17-180P4A(M) CLV(19.5V/9.23A) REV02 RP47SA/WA,ADAPTER 180W A17-180P4A(M) CLV(19.5V/9.23A) REV02 RP47SA/WA,1600,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
AERO 17 XB AC adaptor,AC ADAPTER 230W A17-230P1A(P)(19.5V/11.8A) GOLDEN PIN CCYP'',AC ADAPTER 230W A17-230P1A(P)(19.5V/11.8A) GOLDEN PIN CCYP'',1900,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
P55W/K V4 - Battery,''BATTERY LI-ION 3S2P 5400mAh 961T/Q2010F GNS-260 SMP'',''BATTERY LI-ION 3S2P 5400mAh 961T/Q2010F GNS-260 SMP'',1441,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
X5  - KB,KB X5 102K UI (backlight ),KB X5 102K UI (backlight ),1109,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
AERO 17 HDR XD-73ZA524SP,AERO 17 HDR XD|17.3'' 4K 60Hz HDR|Intel Core i7-11800H|RTX 3070Q GDDR6 8GB|8GB x 2 (16GB) 3200MHz|Gen4 1TB NVMe SSD|WIN10Pro,AERO 17 HDR XD|17.3'' 4K 60Hz HDR|Intel Core i7-11800H|RTX 3070Q GDDR6 8GB|8GB x 2 (16GB) 3200MHz|Gen4 1TB NVMe SSD|WIN10Pro,39999,42,Gigabyte Notebook,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-17-hdr-xd-73za524sp/pictures/aero-17-hdr-yd-94za548sp-2_5j3k.png;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-17-hdr-xd-73za524sp/pictures/aero-17-hdr-yd-94za548sp-1_n9s4.png;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-17-hdr-xd-73za524sp/pictures/aero-17-hdr-yd-94za548sp-3_dudu.png;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-17-hdr-xd-73za524sp/pictures/aero-17-hdr-xd-73za524sp.jpg,Gigabyte,Systems,Notebooks
AERO 15 OLED XD-73ZA644SP,AERO 15 OLED XD|15.6'' 4K 60Hz OLED|Intel Core i7-11800H|RTX 3070Q GDDR6 8GB|8GB x 2 (16GB) 3200MHz|Gen4 1TB NVMe SSD|WIN10Pro,AERO 15 OLED XD|15.6'' 4K 60Hz OLED|Intel Core i7-11800H|RTX 3070Q GDDR6 8GB|8GB x 2 (16GB) 3200MHz|Gen4 1TB NVMe SSD|WIN10Pro,39999,26,Gigabyte Notebook,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-15-oled-xd-73za644sp/pictures/aero-15-oled-xd-73za644sp.jfif,Gigabyte,Systems,Notebooks
P37 - KB,KB X7 102K US Backlight,KB X7 102K US Backlight,1109,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
GB AERO_AORUS 3 Y Warranty,GIGABYTE AORUS/AERO Series Warranty 2 year to 3 year Carry in Warranty(Virtual),GIGABYTE AORUS/AERO Series Warranty 2 year to 3 year Carry in Warranty(Virtual),4499,4,Gigabyte Notebook,,#N/A,#N/A,#N/A
P17V5 - MB EDP,''MB EDP P17FV5 CPU i7-6700HQ CLV 6-77-W670RC00-D02-3C#10'',''MB EDP P17FV5 CPU i7-6700HQ CLV 6-77-W670RC00-D02-3C#10'',9346,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
P47SA/WA - Ac Adapter,ADAPTER 180W A17-180P4A(M) CLV (19.5V/9.23A) REV02 RP47SA/WA,ADAPTER 180W A17-180P4A(M) CLV (19.5V/9.23A) REV02 RP47SA/WA,1400,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
AERO 15 OLED KD-72ZA623SP,AERO 15 OLED KD|15.6'' 4K 60Hz OLED|Intel Core i7-11800H|RTX 3060 GDDR6 6GB|8GB x 2 (16GB) 3200MHz|Gen4 512GB NVMe SSD|WIN10Pro,AERO 15 OLED KD|15.6'' 4K 60Hz OLED|Intel Core i7-11800H|RTX 3060 GDDR6 6GB|8GB x 2 (16GB) 3200MHz|Gen4 512GB NVMe SSD|WIN10Pro,31999,3,Gigabyte Notebook,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/aero-15-oled-kd-72za623sp/pictures/aero-15-oled-kd-72za623sp.png,Gigabyte,Systems,Notebooks
P65XV8 - NAME COVER,NAME PLATE RP65W8 YDM (AERO),NAME PLATE RP65W8 YDM (AERO),500,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
P45G - Battery,''BAT.P S LI 10.8V/4.4AH/47WH P45K CLV 6-87-N850S-4U41'',''BAT.P S LI 10.8V/4.4AH/47WH P45K CLV 6-87-N850S-4U41'',1463,0,Gigabyte Notebook,,#N/A,#N/A,#N/A
